source_location,destination_location,lat_src,lon_src,lat_dest,lon_dest,distance,day_of_week,hour,is_peak,weather,road_capacity,vehicles,speed,signal_time,travel_time
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekday,15,0,Clear,2000,717,45.94,0,0.01567261645624728
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekday,16,0,Clear,2000,795,40.66,0,0.017707820954254796
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekday,17,1,Cloudy,2000,1578,19.78,0,0.03640040444893832
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekday,18,1,Clear,2000,1671,21.85,0,0.03295194508009153
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekday,19,1,Clear,2000,1893,14.75,0,0.0488135593220339
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekday,20,1,Cloudy,2000,1499,25.1,0,0.028685258964143423
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekday,21,1,Cloudy,2000,1437,26.34,0,0.02733485193621868
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekday,22,0,Clear,2000,669,47.49,0,0.015161086544535692
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekday,23,0,Clear,2000,638,49.58,0,0.014521984671238403
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekend,0,0,Clear,2000,197,60.53,0,0.011894928134809185
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekend,1,0,Rainy,2000,241,43.16,0,0.016682113067655237
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekend,2,0,Clear,2000,313,56.65,0,0.012709620476610768
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekend,3,0,Cloudy,2000,248,54.93,0,0.013107591480065538
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekend,4,0,Clear,2000,228,58.29,0,0.012352032938754504
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekend,5,0,Clear,2000,252,56.9,0,0.012653778558875221
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekend,6,0,Rainy,2000,749,34.3,0,0.020991253644314874
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekend,7,0,Clear,2000,646,46.39,0,0.01552058633326148
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekend,8,0,Clear,2000,696,47.96,0,0.015012510425354461
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekend,9,0,Cloudy,2000,711,41.83,0,0.017212526894573275
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekend,10,0,Rainy,2000,923,26.83,0,0.02683563175549758
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekend,11,0,Clear,2000,856,41.4,0,0.017391304347826087
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekend,12,0,Cloudy,2000,1116,31.87,0,0.02259177910260433
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekend,13,0,Clear,2000,733,44.73,0,0.01609657947686117
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekend,14,0,Clear,2000,802,43.1,0,0.01670533642691415
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekend,15,0,Clear,2000,1021,38.63,0,0.018638363965829664
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekend,16,0,Clear,2000,1183,29.85,0,0.024120603015075376
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekend,17,0,Clear,2000,622,47.99,0,0.01500312565117733
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekend,18,0,Clear,2000,901,40.51,0,0.017773389286595904
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekend,19,0,Clear,2000,893,41.7,0,0.017266187050359712
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekend,20,0,Foggy,2000,745,24.73,0,0.029114435907804284
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekend,21,0,Clear,2000,1036,38.93,0,0.018494734138196762
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekend,22,0,Clear,2000,979,40.08,0,0.017964071856287425
Chansandra,Nagondanahalli,12.982522,77.7605253,12.97516,77.7703403,0.012,Weekend,23,0,Clear,2000,1101,40.17,0,0.017923823749066467
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekday,0,0,Clear,3000,233,63.58,0,0.012268008807801194
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekday,1,0,Clear,3000,157,63.75,0,0.01223529411764706
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekday,2,0,Clear,3000,251,60.93,0,0.012801575578532742
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekday,3,0,Clear,3000,324,62.7,0,0.012440191387559807
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekday,4,0,Rainy,3000,211,43.08,0,0.018105849582172703
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekday,5,0,Rainy,3000,544,39.8,0,0.019597989949748745
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekday,6,0,Clear,3000,1493,41.12,0,0.01896887159533074
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekday,7,0,Clear,3000,1117,50.06,0,0.015581302437075508
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekday,8,1,Clear,3000,2772,18.13,0,0.04302261445118588
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekday,9,1,Clear,3000,2361,26.59,0,0.02933433621662279
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekday,10,1,Cloudy,3000,2772,16.35,0,0.04770642201834862
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekday,11,1,Clear,3000,2163,29.3,0,0.02662116040955631
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekday,12,0,Clear,3000,1708,37.38,0,0.020866773675762437
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekday,13,0,Clear,3000,1044,47.34,0,0.0164765525982256
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekday,14,0,Clear,3000,1522,37.77,0,0.02065131056393963
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekday,15,0,Cloudy,3000,1113,44.09,0,0.017691086414152866
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekday,16,0,Clear,3000,1571,41.19,0,0.018936635105608158
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekday,17,1,Clear,3000,2526,22.88,0,0.03409090909090909
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekday,18,1,Clear,3000,2375,22.99,0,0.033927794693344934
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekday,19,1,Foggy,3000,2394,10.58,0,0.07372400756143667
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekday,20,1,Rainy,3000,2573,14.87,0,0.05245460659045057
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekday,21,1,Clear,3000,2469,25.99,0,0.030011542901115816
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekday,22,0,Clear,3000,1550,37.51,0,0.020794454812050122
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekday,23,0,Rainy,3000,1758,26.09,0,0.029896512073591414
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekend,0,0,Rainy,3000,316,44.27,0,0.017619155184097582
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekend,1,0,Foggy,3000,533,28.84,0,0.027045769764216365
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekend,2,0,Clear,3000,323,60.88,0,0.012812089356110381
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekend,3,0,Clear,3000,400,62.09,0,0.0125624094057014
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekend,4,0,Rainy,3000,463,39.71,0,0.0196424074540418
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekend,5,0,Clear,3000,595,57.17,0,0.013643519328319047
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekend,6,0,Clear,3000,1366,43.68,0,0.017857142857142856
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekend,7,0,Clear,3000,1532,41.1,0,0.01897810218978102
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekend,8,0,Clear,3000,1164,47.64,0,0.0163727959697733
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekend,9,0,Rainy,3000,1721,26.62,0,0.02930127723516153
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekend,10,0,Clear,3000,1351,44.38,0,0.01757548445245606
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekend,11,0,Cloudy,3000,1616,36.89,0,0.02114394144754676
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekend,12,0,Rainy,3000,1204,30.58,0,0.025506867233485938
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekend,13,0,Clear,3000,932,50.32,0,0.015500794912559618
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekend,14,0,Clear,3000,1388,43.94,0,0.01775147928994083
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekend,15,0,Clear,3000,933,47.54,0,0.016407236011779555
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekend,16,0,Cloudy,3000,1224,41.11,0,0.01897348576988567
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekend,17,0,Cloudy,3000,1094,40.93,0,0.019056926459809432
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekend,18,0,Clear,3000,976,50.08,0,0.015575079872204472
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekend,19,0,Clear,3000,1473,39.73,0,0.019632519506670023
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekend,20,0,Cloudy,3000,1778,27.94,0,0.027916964924838937
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekend,21,0,Cloudy,3000,1143,42.65,0,0.0182883939038687
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekend,22,0,Clear,3000,970,51.11,0,0.015261201330463705
Chansandra,Kadugodi,12.982522,77.7605253,12.9957428,77.7579489,0.013,Weekend,23,0,Clear,3000,1055,50.29,0,0.015510041757804733
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekday,0,0,Clear,1000,87,59.62,0,0.014089231801408924
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekday,1,0,Clear,1000,91,56.68,0,0.014820042342978124
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekday,2,0,Foggy,1000,160,30.52,0,0.027522935779816515
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekday,3,0,Clear,1000,87,58.17,0,0.014440433212996389
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekday,4,0,Clear,1000,163,53.3,0,0.01575984990619137
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekday,5,0,Clear,1000,64,58.74,0,0.014300306435137895
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekday,6,0,Clear,1000,442,38.48,0,0.02182952182952183
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekday,7,0,Clear,1000,484,34.43,0,0.02439732791170491
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekday,8,1,Clear,1000,711,28.87,0,0.02909594735019051
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekday,9,1,Clear,1000,914,13.33,0,0.06301575393848462
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekday,10,1,Clear,1000,740,24.97,0,0.03364036844213056
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekday,11,1,Clear,1000,846,18.27,0,0.04597701149425287
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekday,12,0,Rainy,1000,472,29.43,0,0.02854230377166157
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekday,13,0,Clear,1000,463,35.46,0,0.023688663282571912
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekday,14,0,Rainy,1000,415,28.73,0,0.02923773059519666
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekday,15,0,Clear,1000,395,39.97,0,0.021015761821366025
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekday,16,0,Cloudy,1000,306,39.77,0,0.02112144832788534
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekday,17,1,Clear,1000,874,19.83,0,0.04236006051437217
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekday,18,1,Clear,1000,919,17.58,0,0.04778156996587031
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekday,19,1,Clear,1000,744,25.65,0,0.03274853801169591
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekday,20,1,Cloudy,1000,901,15.08,0,0.05570291777188329
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekday,21,1,Clear,1000,894,17.41,0,0.048248133256748996
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekday,22,0,Clear,1000,579,31.93,0,0.026307547760726593
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekday,23,0,Cloudy,1000,526,33.62,0,0.02498512790005949
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekend,0,0,Clear,1000,185,53.98,0,0.015561319007039644
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekend,1,0,Clear,1000,184,51.46,0,0.016323357947920718
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekend,2,0,Clear,1000,51,58.47,0,0.014366341713699333
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekend,3,0,Foggy,1000,136,26.61,0,0.03156708004509583
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekend,4,0,Clear,1000,117,52.64,0,0.015957446808510637
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekend,5,0,Clear,1000,162,50.02,0,0.01679328268692523
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekend,6,0,Cloudy,1000,536,30.94,0,0.027149321266968323
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekend,7,0,Clear,1000,464,36.09,0,0.023275145469659184
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekend,8,0,Clear,1000,566,31.33,0,0.026811362910947975
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekend,9,0,Clear,1000,528,34.17,0,0.024582967515364353
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekend,10,0,Clear,1000,330,44.86,0,0.01872492197949175
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekend,11,0,Clear,1000,546,32.93,0,0.02550865472213787
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekend,12,0,Cloudy,1000,324,37.3,0,0.0225201072386059
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekend,13,0,Cloudy,1000,584,26.1,0,0.03218390804597701
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekend,14,0,Foggy,1000,526,16.03,0,0.05240174672489083
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekend,15,0,Cloudy,1000,467,33.55,0,0.025037257824143073
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekend,16,0,Clear,1000,571,32.68,0,0.025703794369645042
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekend,17,0,Clear,1000,440,37.05,0,0.02267206477732794
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekend,18,0,Clear,1000,335,44.76,0,0.018766756032171584
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekend,19,0,Cloudy,1000,475,32.0,0,0.02625
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekend,20,0,Foggy,1000,412,21.58,0,0.03892493049119555
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekend,21,0,Clear,1000,588,31.09,0,0.02701833386941139
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekend,22,0,Clear,1000,590,32.24,0,0.026054590570719603
Chansandra,Whitefield,12.982522,77.7605253,12.9963995,77.7614229,0.014,Weekend,23,0,Clear,1000,466,37.84,0,0.02219873150105708
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekday,0,0,Foggy,3000,385,21.13,0,0.04543303360151443
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekday,1,0,Clear,3000,432,37.87,0,0.025349881172432007
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekday,2,0,Clear,3000,555,38.99,0,0.024621697871249036
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekday,3,0,Clear,3000,234,36.47,0,0.02632300520976145
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekday,4,0,Clear,3000,309,35.77,0,0.026838132513279284
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekday,5,0,Foggy,3000,593,17.4,0,0.055172413793103454
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekday,6,0,Clear,3000,1382,27.55,0,0.03484573502722323
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekday,7,0,Clear,3000,1046,28.14,0,0.03411513859275053
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekday,8,1,Rainy,3000,2716,5.2,0,0.18461538461538463
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekday,9,1,Rainy,3000,2749,11.25,0,0.08533333333333334
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekday,10,1,Clear,3000,2119,20.02,0,0.04795204795204795
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekday,11,1,Foggy,3000,2212,7.39,0,0.12990527740189445
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekday,12,0,Clear,3000,1242,26.94,0,0.035634743875278395
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekday,13,0,Clear,3000,1146,30.69,0,0.03128054740957967
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekday,14,0,Clear,3000,1678,22.46,0,0.0427426536064114
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekday,15,0,Cloudy,3000,1750,19.59,0,0.04900459418070444
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekday,16,0,Cloudy,3000,1122,23.49,0,0.04086845466155811
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekday,17,1,Foggy,3000,2554,6.19,0,0.15508885298869143
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekday,18,1,Clear,3000,2603,9.35,0,0.10267379679144385
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekday,19,1,Clear,3000,2603,14.98,0,0.06408544726301736
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekday,20,1,Clear,3000,2679,13.96,0,0.06876790830945559
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekday,21,1,Clear,3000,2520,13.45,0,0.07137546468401487
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekday,22,0,Rainy,3000,1263,20.15,0,0.047642679900744424
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekday,23,0,Cloudy,3000,1091,28.66,0,0.03349616189811584
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekend,0,0,Clear,3000,156,41.05,0,0.02338611449451888
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekend,1,0,Clear,3000,346,33.36,0,0.02877697841726619
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekend,2,0,Rainy,3000,306,29.12,0,0.03296703296703297
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekend,3,0,Clear,3000,429,36.12,0,0.026578073089700997
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekend,4,0,Rainy,3000,577,20.66,0,0.046466602129719266
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekend,5,0,Clear,3000,591,34.12,0,0.02813599062133646
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekend,6,0,Clear,3000,1195,25.07,0,0.038292780215396886
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekend,7,0,Clear,3000,1015,30.96,0,0.031007751937984492
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekend,8,0,Clear,3000,1036,30.13,0,0.031861931629605045
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekend,9,0,Clear,3000,1211,25.63,0,0.03745610612563403
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekend,10,0,Rainy,3000,1326,16.41,0,0.058500914076782456
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekend,11,0,Clear,3000,936,31.49,0,0.03048586852969197
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekend,12,0,Clear,3000,1150,27.95,0,0.03434704830053667
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekend,13,0,Clear,3000,1227,25.26,0,0.03800475059382422
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekend,14,0,Clear,3000,1521,22.75,0,0.0421978021978022
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekend,15,0,Rainy,3000,1728,15.76,0,0.06091370558375635
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekend,16,0,Clear,3000,1149,29.41,0,0.032641958517511054
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekend,17,0,Clear,3000,1088,30.35,0,0.03163097199341021
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekend,18,0,Clear,3000,1336,23.12,0,0.04152249134948097
Chansandra,Belatur,12.982522,77.7605253,12.9975859,77.7559053,0.016,Weekend,19,0,Clear,3000,1572,26.32,0,0.03647416413373861
